height,sample_count,optimization_type,size
2229000,1088,none,7097716
2254000,1070,none,7267526
2279000,1068,none,6820652
2304000,1090,none,7294246
2329000,1085,none,7806371
2354000,1081,none,7150523
2379000,1094,none,7831266
2404000,1088,none,7411988
2429000,1085,none,7108531
2454000,1104,none,8112172
2479000,1122,none,7725202
2504000,1129,none,7619691
2529000,1122,none,7933822
2554000,1134,none,7932042
2579000,1158,none,9002570
2604000,1113,none,8451827
2629000,1125,none,8330975
2654000,1138,none,8238238
2679000,1115,none,7881465
2704000,1121,none,7509939
2729000,1103,none,7551460
2754000,1107,none,7675632
2779000,1128,none,8022291
2804000,1133,none,7627286
2829000,1142,none,7614605
2854000,1146,none,8073789
2879000,1134,none,7534377
2904000,1157,none,7897738
2929000,1165,none,8224650
2954000,1181,none,8192590
2979000,1170,none,8670225
3004000,1153,none,7808458
3029000,1158,none,7800193
3054000,1141,none,8689126
3079000,1156,none,8056283
904000,307,none,1465593
929000,626,none,3497602
954000,705,none,4324715
979000,752,none,4438808
1004000,791,none,4640301
1029000,822,none,5201254
1054000,829,none,4876683
1079000,832,none,5371192
1104000,855,none,4866645
1129000,874,none,5337878
1154000,872,none,5251392
1179000,898,none,5885270
1204000,885,none,5631039
1229000,939,none,5897041
1254000,932,none,6224592
1279000,962,none,6327502
1304000,984,none,6558316
1329000,982,none,6820506
1354000,1003,none,6386853
1379000,976,none,6505416
1404000,984,none,6656648
1429000,999,none,6823149
1454000,982,none,6325186
1479000,986,none,6911250
1504000,973,none,6762671
1529000,972,none,6811660
1554000,985,none,7269143
1579000,980,none,6437316
1604000,974,none,5833086
1629000,960,none,6616044
1654000,986,none,6531342
1679000,962,none,6576870
1704000,1010,none,5929790
1729000,1019,none,6447077
1754000,1036,none,6421904
1779000,1029,none,7075439
1804000,1008,none,6384252
1829000,1014,none,6350666
1854000,1026,none,6965962
1879000,1019,none,7113197
1904000,1024,none,6735272
1929000,1043,none,7141113
1954000,1033,none,6420275
1979000,1031,none,6890597
2004000,1031,none,7000641
2029000,1043,none,7116713
2054000,1055,none,7057837
2079000,1055,none,7855473
2104000,1074,none,6967626
2129000,1077,none,7627811
2154000,1094,none,7939602
2179000,1088,none,7805316
2204000,1099,none,7599009
2229000,1088,none,7097716
2254000,1070,none,7267526
2279000,1068,none,6820652
2304000,1090,none,7294246
2329000,1085,none,7806371
2354000,1081,none,7150523
2379000,1094,none,7831266
2404000,1088,none,7411988
2429000,1085,none,7108531
2454000,1104,none,8112172
2479000,1122,none,7725202
2504000,1129,none,7619691
2529000,1122,none,7933822
2554000,1134,none,7932042
2579000,1158,none,9002570
2604000,1113,none,8451827
2629000,1125,none,8330975
2654000,1138,none,8238238
2679000,1115,none,7881465
2704000,1121,none,7509939
2729000,1103,none,7551460
2754000,1107,none,7675632
2779000,1128,none,8022291
2804000,1133,none,7627286
2829000,1142,none,7614605
2854000,1146,none,8073789
2879000,1134,none,7534377
2904000,1157,none,7897738
2929000,1165,none,8224650
2954000,1181,none,8192590
2979000,1170,none,8670225
3004000,1153,none,7808458
3029000,1158,none,7800193
3054000,1141,none,8689126
3079000,1156,none,8056283
904000,307,none,1465593
929000,626,none,3497602
954000,705,none,4324715
979000,752,none,4438808
1004000,791,none,4640301
1029000,822,none,5201254
1054000,829,none,4876683
1079000,832,none,5371192
1104000,855,none,4866645
1129000,874,none,5337878
1154000,872,none,5251392
1179000,898,none,5885270
1204000,885,none,5631039
1229000,939,none,5897041
1254000,932,none,6224592
1279000,962,none,6327502
1304000,984,none,6558316
1329000,982,none,6820506
1354000,1003,none,6386853
1379000,976,none,6505416
1404000,984,none,6656648
1429000,999,none,6823149
1454000,982,none,6325186
1479000,986,none,6911250
1504000,973,none,6762671
1529000,972,none,6811660
1554000,985,none,7269143
1579000,980,none,6437316
1604000,974,none,5833086
1629000,960,none,6616044
1654000,986,none,6531342
1679000,962,none,6576870
1704000,1010,none,5929790
1729000,1019,none,6447077
1754000,1036,none,6421904
1779000,1029,none,7075439
1804000,1008,none,6384252
1829000,1014,none,6350666
1854000,1026,none,6965962
1879000,1019,none,7113197
1904000,1024,none,6735272
1929000,1043,none,7141113
1954000,1033,none,6420275
1979000,1031,none,6890597
2004000,1031,none,7000641
2029000,1043,none,7116713
2054000,1055,none,7057837
2079000,1055,none,7855473
2104000,1074,none,6967626
2129000,1077,none,7627811
2154000,1094,none,7939602
2179000,1088,none,7805316
2204000,1099,none,7599009
2229000,1088,none,7097716
2254000,1070,none,7267526
2279000,1068,none,6820652
2304000,1090,none,7294246
2329000,1085,none,7806371
2354000,1081,none,7150523
2379000,1094,none,7831266
2404000,1088,none,7411988
2429000,1085,none,7108531
2454000,1104,none,8112172
2479000,1122,none,7725202
2504000,1129,none,7619691
2529000,1122,none,7933822
2554000,1134,none,7932042
2579000,1158,none,9002570
2604000,1113,none,8451827
2629000,1125,none,8330975
2654000,1138,none,8238238
2679000,1115,none,7881465
2704000,1121,none,7509939
2729000,1103,none,7551460
2754000,1107,none,7675632
2779000,1128,none,8022291
2804000,1133,none,7627286
2829000,1142,none,7614605
2854000,1146,none,8073789
2879000,1134,none,7534377
2904000,1157,none,7897738
2929000,1165,none,8224650
2954000,1181,none,8192590
2979000,1170,none,8670225
3004000,1153,none,7808458
3029000,1158,none,7800193
3054000,1141,none,8689126
3079000,1156,none,8056283
904000,307,none,1465593
929000,626,none,3497602
954000,705,none,4324715
979000,752,none,4438808
1004000,791,none,4640301
1029000,822,none,5201254
1054000,829,none,4876683
1079000,832,none,5371192
1104000,855,none,4866645
1129000,874,none,5337878
1154000,872,none,5251392
1179000,898,none,5885270
1204000,885,none,5631039
1229000,939,none,5897041
1254000,932,none,6224592
1279000,962,none,6327502
1304000,984,none,6558316
1329000,982,none,6820506
1354000,1003,none,6386853
1379000,976,none,6505416
1404000,984,none,6656648
1429000,999,none,6823149
1454000,982,none,6325186
1479000,986,none,6911250
1504000,973,none,6762671
1529000,972,none,6811660
1554000,985,none,7269143
1579000,980,none,6437316
1604000,974,none,5833086
1629000,960,none,6616044
1654000,986,none,6531342
1679000,962,none,6576870
1704000,1010,none,5929790
1729000,1019,none,6447077
1754000,1036,none,6421904
1779000,1029,none,7075439
1804000,1008,none,6384252
1829000,1014,none,6350666
1854000,1026,none,6965962
1879000,1019,none,7113197
1904000,1024,none,6735272
1929000,1043,none,7141113
1954000,1033,none,6420275
1979000,1031,none,6890597
2004000,1031,none,7000641
2029000,1043,none,7116713
2054000,1055,none,7057837
2079000,1055,none,7855473
2104000,1074,none,6967626
2129000,1077,none,7627811
2154000,1094,none,7939602
2179000,1088,none,7805316
2204000,1099,none,7599009
2229000,1088,none,7097716
2254000,1070,none,7267526
2279000,1068,none,6820652
2304000,1090,none,7294246
2329000,1085,none,7806371
2354000,1081,none,7150523
2379000,1094,none,7831266
2404000,1088,none,7411988
2429000,1085,none,7108531
2454000,1104,none,8112172
2479000,1122,none,7725202
2504000,1129,none,7619691
2529000,1122,none,7933822
2554000,1134,none,7932042
2579000,1158,none,9002570
2604000,1113,none,8451827
2629000,1125,none,8330975
2654000,1138,none,8238238
2679000,1115,none,7881465
2704000,1121,none,7509939
2729000,1103,none,7551460
2754000,1107,none,7675632
2779000,1128,none,8022291
2804000,1133,none,7627286
2829000,1142,none,7614605
2854000,1146,none,8073789
2879000,1134,none,7534377
2904000,1157,none,7897738
2929000,1165,none,8224650
2954000,1181,none,8192590
2979000,1170,none,8670225
3004000,1153,none,7808458
3029000,1158,none,7800193
3054000,1141,none,8689126
3079000,1156,none,8056283
904000,307,none,1465593
929000,626,none,3497602
954000,705,none,4324715
979000,752,none,4438808
1004000,791,none,4640301
1029000,822,none,5201254
1054000,829,none,4876683
1079000,832,none,5371192
1104000,855,none,4866645
1129000,874,none,5337878
1154000,872,none,5251392
1179000,898,none,5885270
1204000,885,none,5631039
1229000,939,none,5897041
1254000,932,none,6224592
1279000,962,none,6327502
1304000,984,none,6558316
1329000,982,none,6820506
1354000,1003,none,6386853
1379000,976,none,6505416
1404000,984,none,6656648
1429000,999,none,6823149
1454000,982,none,6325186
1479000,986,none,6911250
1504000,973,none,6762671
1529000,972,none,6811660
1554000,985,none,7269143
1579000,980,none,6437316
1604000,974,none,5833086
1629000,960,none,6616044
1654000,986,none,6531342
1679000,962,none,6576870
1704000,1010,none,5929790
1729000,1019,none,6447077
1754000,1036,none,6421904
1779000,1029,none,7075439
1804000,1008,none,6384252
1829000,1014,none,6350666
1854000,1026,none,6965962
1879000,1019,none,7113197
1904000,1024,none,6735272
1929000,1043,none,7141113
1954000,1033,none,6420275
1979000,1031,none,6890597
2004000,1031,none,7000641
2029000,1043,none,7116713
2054000,1055,none,7057837
2079000,1055,none,7855473
2104000,1074,none,6967626
2129000,1077,none,7627811
2154000,1094,none,7939602
2179000,1088,none,7805316
2204000,1099,none,7599009
2229000,1088,none,7097716
2254000,1070,none,7267526
2279000,1068,none,6820652
2304000,1090,none,7294246
2329000,1085,none,7806371
2354000,1081,none,7150523
2379000,1094,none,7831266
2404000,1088,none,7411988
2429000,1085,none,7108531
2454000,1104,none,8112172
2479000,1122,none,7725202
2504000,1129,none,7619691
2529000,1122,none,7933822
2554000,1134,none,7932042
2579000,1158,none,9002570
2604000,1113,none,8451827
2629000,1125,none,8330975
2654000,1138,none,8238238
2679000,1115,none,7881465
2704000,1121,none,7509939
2729000,1103,none,7551460
2754000,1107,none,7675632
2779000,1128,none,8022291
2804000,1133,none,7627286
2829000,1142,none,7614605
2854000,1146,none,8073789
2879000,1134,none,7534377
2904000,1157,none,7897738
2929000,1165,none,8224650
2954000,1181,none,8192590
2979000,1170,none,8670225
3004000,1153,none,7808458
3029000,1158,none,7800193
3054000,1141,none,8689126
3079000,1156,none,8056283
904000,307,none,1465593
929000,626,none,3497602
954000,705,none,4324715
979000,752,none,4438808
1004000,791,none,4640301
1029000,822,none,5201254
1054000,829,none,4876683
1079000,832,none,5371192
1104000,855,none,4866645
1129000,874,none,5337878
1154000,872,none,5251392
1179000,898,none,5885270
1204000,885,none,5631039
1229000,939,none,5897041
1254000,932,none,6224592
1279000,962,none,6327502
1304000,984,none,6558316
1329000,982,none,6820506
1354000,1003,none,6386853
1379000,976,none,6505416
1404000,984,none,6656648
1429000,999,none,6823149
1454000,982,none,6325186
1479000,986,none,6911250
1504000,973,none,6762671
1529000,972,none,6811660
1554000,985,none,7269143
1579000,980,none,6437316
1604000,974,none,5833086
1629000,960,none,6616044
1654000,986,none,6531342
1679000,962,none,6576870
1704000,1010,none,5929790
1729000,1019,none,6447077
1754000,1036,none,6421904
1779000,1029,none,7075439
1804000,1008,none,6384252
1829000,1014,none,6350666
1854000,1026,none,6965962
1879000,1019,none,7113197
1904000,1024,none,6735272
1929000,1043,none,7141113
1954000,1033,none,6420275
1979000,1031,none,6890597
2004000,1031,none,7000641
2029000,1043,none,7116713
2054000,1055,none,7057837
2079000,1055,none,7855473
2104000,1074,none,6967626
2129000,1077,none,7627811
2154000,1094,none,7939602
2179000,1088,none,7805316
2204000,1099,none,7599009
2229000,1088,none,7097716
2254000,1070,none,7267526
2279000,1068,none,6820652
2304000,1090,none,7294246
2329000,1085,none,7806371
2354000,1081,none,7150523
2379000,1094,none,7831266
2404000,1088,none,7411988
2429000,1085,none,7108531
2454000,1104,none,8112172
2479000,1122,none,7725202
2504000,1129,none,7619691
2529000,1122,none,7933822
2554000,1134,none,7932042
2579000,1158,none,9002570
2604000,1113,none,8451827
2629000,1125,none,8330975
2654000,1138,none,8238238
2679000,1115,none,7881465
2704000,1121,none,7509939
2729000,1103,none,7551460
2754000,1107,none,7675632
2779000,1128,none,8022291
2804000,1133,none,7627286
2829000,1142,none,7614605
2854000,1146,none,8073789
2879000,1134,none,7534377
2904000,1157,none,7897738
2929000,1165,none,8224650
2954000,1181,none,8192590
2979000,1170,none,8670225
3004000,1153,none,7808458
3029000,1158,none,7800193
3054000,1141,none,8689126
3079000,1156,none,8056283
904000,307,none,1465593
929000,626,none,3497602
954000,705,none,4324715
979000,752,none,4438808
1004000,791,none,4640301
1029000,822,none,5201254
1054000,829,none,4876683
1079000,832,none,5371192
1104000,855,none,4866645
1129000,874,none,5337878
1154000,872,none,5251392
1179000,898,none,5885270
1204000,885,none,5631039
1229000,939,none,5897041
1254000,932,none,6224592
1279000,962,none,6327502
1304000,984,none,6558316
1329000,982,none,6820506
1354000,1003,none,6386853
1379000,976,none,6505416
1404000,984,none,6656648
1429000,999,none,6823149
1454000,982,none,6325186
1479000,986,none,6911250
1504000,973,none,6762671
1529000,972,none,6811660
1554000,985,none,7269143
1579000,980,none,6437316
1604000,974,none,5833086
1629000,960,none,6616044
1654000,986,none,6531342
1679000,962,none,6576870
1704000,1010,none,5929790
1729000,1019,none,6447077
1754000,1036,none,6421904
1779000,1029,none,7075439
1804000,1008,none,6384252
1829000,1014,none,6350666
1854000,1026,none,6965962
1879000,1019,none,7113197
1904000,1024,none,6735272
1929000,1043,none,7141113
1954000,1033,none,6420275
1979000,1031,none,6890597
2004000,1031,none,7000641
2029000,1043,none,7116713
2054000,1055,none,7057837
2079000,1055,none,7855473
2104000,1074,none,6967626
2129000,1077,none,7627811
2154000,1094,none,7939602
2179000,1088,none,7805316
2204000,1099,none,7599009
2229000,1088,none,7097716
2254000,1070,none,7267526
2279000,1068,none,6820652
2304000,1090,none,7294246
2329000,1085,none,7806371
2354000,1081,none,7150523
2379000,1094,none,7831266
2404000,1088,none,7411988
2429000,1085,none,7108531
2454000,1104,none,8112172
2479000,1122,none,7725202
2504000,1129,none,7619691
2529000,1122,none,7933822
2554000,1134,none,7932042
2579000,1158,none,9002570
2604000,1113,none,8451827
2629000,1125,none,8330975
2654000,1138,none,8238238
2679000,1115,none,7881465
2704000,1121,none,7509939
2729000,1103,none,7551460
2754000,1107,none,7675632
2779000,1128,none,8022291
2804000,1133,none,7627286
2829000,1142,none,7614605
2854000,1146,none,8073789
2879000,1134,none,7534377
2904000,1157,none,7897738
2929000,1165,none,8224650
2954000,1181,none,8192590
2979000,1170,none,8670225
3004000,1153,none,7808458
3029000,1158,none,7800193
3054000,1141,none,8689126
3079000,1156,none,8056283
904000,307,none,1465593
929000,626,none,3497602
954000,705,none,4324715
979000,752,none,4438808
1004000,791,none,4640301
1029000,822,none,5201254
1054000,829,none,4876683
1079000,832,none,5371192
1104000,855,none,4866645
1129000,874,none,5337878
1154000,872,none,5251392
1179000,898,none,5885270
1204000,885,none,5631039
1229000,939,none,5897041
1254000,932,none,6224592
1279000,962,none,6327502
1304000,984,none,6558316
1329000,982,none,6820506
1354000,1003,none,6386853
1379000,976,none,6505416
1404000,984,none,6656648
1429000,999,none,6823149
1454000,982,none,6325186
1479000,986,none,6911250
1504000,973,none,6762671
1529000,972,none,6811660
1554000,985,none,7269143
1579000,980,none,6437316
1604000,974,none,5833086
1629000,960,none,6616044
1654000,986,none,6531342
1679000,962,none,6576870
1704000,1010,none,5929790
1729000,1019,none,6447077
1754000,1036,none,6421904
1779000,1029,none,7075439
1804000,1008,none,6384252
1829000,1014,none,6350666
1854000,1026,none,6965962
1879000,1019,none,7113197
1904000,1024,none,6735272
1929000,1043,none,7141113
1954000,1033,none,6420275
1979000,1031,none,6890597
2004000,1031,none,7000641
2029000,1043,none,7116713
2054000,1055,none,7057837
2079000,1055,none,7855473
2104000,1074,none,6967626
2129000,1077,none,7627811
2154000,1094,none,7939602
2179000,1088,none,7805316
2204000,1099,none,7599009
2229000,1088,none,7097716
2254000,1070,none,7267526
2279000,1068,none,6820652
2304000,1090,none,7294246
2329000,1085,none,7806371
2354000,1081,none,7150523
2379000,1094,none,7831266
2404000,1088,none,7411988
2429000,1085,none,7108531
2454000,1104,none,8112172
2479000,1122,none,7725202
2504000,1129,none,7619691
2529000,1122,none,7933822
2554000,1134,none,7932042
2579000,1158,none,9002570
2604000,1113,none,8451827
2629000,1125,none,8330975
2654000,1138,none,8238238
2679000,1115,none,7881465
2704000,1121,none,7509939
2729000,1103,none,7551460
2754000,1107,none,7675632
2779000,1128,none,8022291
2804000,1133,none,7627286
2829000,1142,none,7614605
2854000,1146,none,8073789
2879000,1134,none,7534377
2904000,1157,none,7897738
2929000,1165,none,8224650
2954000,1181,none,8192590
2979000,1170,none,8670225
3004000,1153,none,7808458
